user_id,variant,pre_signup_value,device,country,converted,revenue
1,control,31.38,mobile,ID,0,0.0
2,treatment,42.53,mobile,PH,0,0.0
3,control,27.56,mobile,PH,0,0.0
4,control,24.68,mobile,SG,0,0.0
5,treatment,46.19,mobile,ID,0,0.0
6,treatment,26.3,desktop,PH,1,9.84
7,treatment,35.19,mobile,SG,0,0.0
8,treatment,32.84,mobile,ID,0,0.0
9,control,46.16,desktop,SG,0,0.0
10,control,21.59,desktop,PH,0,0.0
11,control,56.93,mobile,SG,0,0.0
12,control,17.59,mobile,MY,0,0.0
13,treatment,36.79,mobile,ID,0,0.0
14,control,33.87,mobile,ID,0,0.0
15,control,16.33,desktop,SG,0,0.0
16,treatment,38.93,mobile,SG,1,47.93
17,control,22.86,mobile,PH,1,12.73
18,control,12.19,mobile,VN,0,0.0
19,treatment,42.33,mobile,ID,0,0.0
20,control,8.49,mobile,SG,0,0.0
21,treatment,14.2,desktop,ID,0,0.0
22,control,27.33,mobile,ID,0,0.0
23,control,45.96,mobile,MY,0,0.0
24,control,40.59,desktop,SG,0,0.0
25,control,31.03,mobile,SG,0,0.0
26,control,6.07,mobile,SG,0,0.0
27,treatment,16.95,mobile,ID,0,0.0
28,treatment,20.04,mobile,MY,0,0.0
29,control,11.7,mobile,ID,0,0.0
30,control,4.52,mobile,ID,0,0.0
31,treatment,28.29,desktop,ID,0,0.0
32,control,41.46,desktop,ID,0,0.0
33,control,18.84,mobile,ID,0,0.0
34,treatment,45.57,mobile,SG,0,0.0
35,treatment,7.54,desktop,SG,0,0.0
36,control,11.09,mobile,ID,0,0.0
37,control,27.86,mobile,MY,0,0.0
38,treatment,17.61,desktop,MY,0,0.0
39,control,39.18,mobile,MY,1,12.8
40,treatment,34.93,desktop,SG,1,25.48
41,control,18.61,mobile,SG,0,0.0
42,control,8.26,desktop,ID,0,0.0
43,treatment,16.97,mobile,ID,0,0.0
44,control,35.51,mobile,ID,1,11.5
45,control,40.23,mobile,SG,0,0.0
46,treatment,17.67,desktop,PH,0,0.0
47,treatment,4.49,mobile,MY,0,0.0
48,control,7.14,mobile,ID,0,0.0
49,treatment,33.57,desktop,MY,0,0.0
50,control,18.37,mobile,MY,0,0.0
51,treatment,18.72,mobile,PH,1,18.27
52,control,10.93,mobile,SG,0,0.0
53,control,10.75,desktop,SG,0,0.0
54,control,45.06,mobile,SG,0,0.0
55,treatment,34.39,mobile,VN,0,0.0
56,control,15.17,desktop,VN,0,0.0
57,treatment,26.42,mobile,ID,0,0.0
58,control,29.78,mobile,MY,0,0.0
59,treatment,70.62,mobile,SG,0,0.0
60,treatment,9.96,mobile,PH,0,0.0
61,control,29.51,mobile,SG,0,0.0
62,treatment,44.91,mobile,SG,0,0.0
63,control,65.39,mobile,PH,0,0.0
64,treatment,14.54,desktop,SG,0,0.0
65,control,18.19,mobile,PH,0,0.0
66,control,39.43,mobile,PH,0,0.0
67,treatment,5.97,mobile,PH,0,0.0
68,control,31.58,desktop,ID,0,0.0
69,control,87.03,desktop,MY,0,0.0
