user_id,variant,pre_signup_value,device,country,converted,revenue
1,control,25.02,desktop,ID,0,0.0
2,treatment,20.06,mobile,PH,0,0.0
3,control,17.19,desktop,ID,0,0.0
4,control,26.18,desktop,SG,0,0.0
5,treatment,16.63,mobile,ID,0,0.0
6,control,35.74,desktop,MY,0,0.0
7,control,27.1,desktop,MY,0,0.0
8,treatment,24.44,mobile,PH,0,0.0
9,control,6.96,desktop,SG,0,0.0
10,control,3.61,mobile,VN,0,0.0
11,treatment,7.61,mobile,PH,0,0.0
12,treatment,28.16,mobile,ID,1,12.28
13,control,24.07,mobile,SG,0,0.0
14,treatment,5.53,desktop,ID,0,0.0
15,control,27.95,desktop,SG,0,0.0
16,treatment,12.38,mobile,SG,0,0.0
17,treatment,12.4,desktop,MY,1,18.52
18,treatment,46.33,desktop,SG,0,0.0
19,control,22.9,mobile,ID,0,0.0
20,control,26.26,mobile,ID,1,6.77
21,treatment,26.5,mobile,ID,0,0.0
22,treatment,5.41,mobile,VN,0,0.0
23,control,27.38,mobile,SG,0,0.0
24,control,87.19,mobile,ID,0,0.0
25,treatment,8.23,mobile,MY,0,0.0
26,control,37.91,mobile,SG,0,0.0
27,control,40.69,mobile,SG,1,5.21
28,control,40.28,desktop,VN,0,0.0
29,treatment,14.07,mobile,VN,0,0.0
30,control,17.06,mobile,SG,0,0.0
31,treatment,8.34,mobile,SG,1,23.35
32,control,21.39,mobile,SG,0,0.0
33,treatment,54.38,mobile,SG,0,0.0
34,treatment,12.55,desktop,SG,0,0.0
35,treatment,2.86,desktop,SG,0,0.0
36,treatment,23.16,mobile,SG,0,0.0
37,control,40.87,mobile,PH,0,0.0
38,treatment,18.52,mobile,ID,0,0.0
39,treatment,67.63,mobile,PH,0,0.0
40,treatment,19.57,mobile,SG,0,0.0
41,treatment,22.73,mobile,MY,0,0.0
42,control,9.04,mobile,SG,0,0.0
43,control,17.36,desktop,SG,0,0.0
44,treatment,39.9,mobile,PH,0,0.0
45,control,40.31,mobile,PH,0,0.0
46,control,51.41,mobile,ID,1,32.84
47,control,38.08,mobile,PH,0,0.0
48,control,32.33,mobile,ID,0,0.0
49,treatment,2.67,desktop,SG,0,0.0
50,treatment,11.31,mobile,SG,0,0.0
51,treatment,98.53,desktop,VN,0,0.0
52,treatment,14.76,desktop,PH,0,0.0
53,treatment,35.81,mobile,ID,1,29.31
54,control,21.22,desktop,ID,0,0.0
55,treatment,36.48,desktop,ID,0,0.0
56,treatment,23.5,mobile,VN,0,0.0
57,control,9.64,mobile,MY,0,0.0
58,treatment,11.79,desktop,VN,1,30.32
59,control,28.92,desktop,ID,0,0.0
60,treatment,15.21,mobile,ID,0,0.0
61,control,2.84,mobile,PH,0,0.0
62,treatment,32.71,mobile,MY,0,0.0
63,control,45.24,mobile,ID,0,0.0
64,control,42.7,mobile,PH,1,14.82
65,treatment,43.32,mobile,MY,0,0.0
66,control,5.49,mobile,ID,0,0.0
67,treatment,64.6,mobile,SG,0,0.0
68,treatment,20.06,mobile,SG,0,0.0
69,control,10.47,mobile,ID,0,0.0
70,control,15.89,mobile,SG,0,0.0
71,treatment,12.57,desktop,ID,0,0.0
72,control,7.52,desktop,ID,0,0.0
73,treatment,22.13,mobile,ID,0,0.0
74,control,25.26,mobile,SG,0,0.0
75,treatment,19.19,mobile,SG,0,0.0
76,treatment,25.15,desktop,ID,0,0.0
77,treatment,19.63,desktop,MY,0,0.0
78,control,12.4,mobile,SG,1,18.25
79,control,14.12,mobile,PH,0,0.0
80,treatment,32.12,desktop,SG,0,0.0
81,control,6.09,desktop,ID,0,0.0
82,treatment,14.65,mobile,SG,0,0.0
83,control,42.1,mobile,SG,0,0.0
84,control,26.41,mobile,VN,0,0.0
85,treatment,34.88,mobile,MY,0,0.0
86,treatment,22.33,mobile,ID,0,0.0
87,treatment,8.07,mobile,ID,0,0.0
88,treatment,16.41,mobile,ID,0,0.0
89,treatment,24.35,mobile,VN,0,0.0
90,treatment,16.4,mobile,MY,0,0.0
91,treatment,19.6,desktop,SG,0,0.0
92,treatment,25.43,mobile,ID,0,0.0
93,control,40.63,mobile,MY,0,0.0
